ID,Server ID,Timestamp,CPU Usage,CPU Temp,Memory Usage,Disk Usage,Network Sent,Network Received,GPU Usage
1557,default_server,2025-02-15 00:47:18,11.8,,73.0,9.6,2407049216,4312744960,
1558,default_server,2025-02-15 00:47:18,11.0,,72.9,9.6,2407049216,4312744960,
1555,default_server,2025-02-15 00:47:15,16.1,,73.0,9.6,2407046144,4312725504,
1556,default_server,2025-02-15 00:47:15,15.3,,73.0,9.6,2407047168,4312740864,
1553,default_server,2025-02-15 00:47:12,11.9,,72.9,9.6,2407003136,4312698880,
1554,default_server,2025-02-15 00:47:12,12.9,,73.0,9.6,2407003136,4312698880,
1551,default_server,2025-02-15 00:47:09,10.0,,72.9,9.6,2407001088,4312695808,
1552,default_server,2025-02-15 00:47:09,11.8,,72.9,9.6,2407001088,4312695808,
1549,default_server,2025-02-15 00:47:06,13.1,,72.9,9.6,2406999040,4312692736,
1550,default_server,2025-02-15 00:47:06,11.6,,72.9,9.6,2406999040,4312692736,
1547,default_server,2025-02-15 00:47:03,11.1,,72.9,9.6,2406986752,4312688640,
1548,default_server,2025-02-15 00:47:03,10.8,,72.9,9.6,2406986752,4312688640,
1545,default_server,2025-02-15 00:47:00,16.0,,72.6,9.6,2406985728,4312685568,
1546,default_server,2025-02-15 00:47:00,27.5,,72.8,9.6,2406985728,4312686592,
1543,default_server,2025-02-15 00:46:57,10.0,,72.4,9.6,2406984704,4312682496,
1544,default_server,2025-02-15 00:46:57,10.3,,72.4,9.6,2406984704,4312683520,
1541,default_server,2025-02-15 00:46:54,14.7,,72.7,9.6,2406965248,4312641536,
1542,default_server,2025-02-15 00:46:54,14.8,,72.7,9.6,2406970368,4312663040,
1539,default_server,2025-02-15 00:46:51,14.3,,72.9,9.6,2406951936,4312619008,
1540,default_server,2025-02-15 00:46:51,10.1,,72.9,9.6,2406951936,4312619008,
1537,default_server,2025-02-15 00:46:48,5.9,,72.7,9.6,2406938624,4312543232,
1538,default_server,2025-02-15 00:46:48,9.5,,72.7,9.6,2406940672,4312599552,
1535,default_server,2025-02-15 00:46:45,12.0,,74.1,9.6,2406917120,4312510464,
1536,default_server,2025-02-15 00:46:45,12.7,,74.1,9.6,2406917120,4312510464,
1533,default_server,2025-02-15 00:46:42,9.5,,73.0,9.6,2406915072,4312508416,
1534,default_server,2025-02-15 00:46:42,8.1,,73.0,9.6,2406915072,4312508416,
1531,default_server,2025-02-15 00:46:39,6.4,,73.2,9.6,2406914048,4312505344,
1532,default_server,2025-02-15 00:46:39,6.4,,73.1,9.6,2406914048,4312506368,
1529,default_server,2025-02-15 00:46:36,11.6,,73.4,9.6,2406913024,4312503296,
1530,default_server,2025-02-15 00:46:36,12.1,,73.3,9.6,2406913024,4312503296,
1527,default_server,2025-02-15 00:46:33,13.9,,73.4,9.6,2406903808,4312492032,
1528,default_server,2025-02-15 00:46:33,15.8,,73.4,9.6,2406903808,4312492032,
1525,default_server,2025-02-15 00:46:30,16.6,,72.9,9.6,2406897664,4312488960,
1526,default_server,2025-02-15 00:46:30,18.4,,72.9,9.6,2406897664,4312488960,
1523,default_server,2025-02-15 00:46:27,12.5,,72.6,9.6,2406896640,4312486912,
1524,default_server,2025-02-15 00:46:27,11.0,,72.5,9.6,2406896640,4312486912,
1521,default_server,2025-02-15 00:46:24,15.2,,72.9,9.6,2406888448,4312459264,
1522,default_server,2025-02-15 00:46:24,16.4,,72.7,9.6,2406888448,4312459264,
1519,default_server,2025-02-15 00:46:21,15.6,,73.3,9.6,2406877184,4312451072,
1520,default_server,2025-02-15 00:46:21,23.3,,73.4,9.6,2406886400,4312456192,
1517,default_server,2025-02-15 00:46:18,11.2,,72.8,9.6,2406874112,4312448000,
1518,default_server,2025-02-15 00:46:18,15.0,,73.4,9.6,2406874112,4312448000,
1515,default_server,2025-02-15 00:46:15,7.6,,72.5,9.6,2406840320,4312420352,
1516,default_server,2025-02-15 00:46:15,9.9,,72.4,9.6,2406842368,4312430592,
1513,default_server,2025-02-15 00:46:12,8.9,,72.7,9.6,2406821888,4312395776,
1514,default_server,2025-02-15 00:46:12,9.6,,72.5,9.6,2406821888,4312395776,
1511,default_server,2025-02-15 00:46:09,9.0,,72.7,9.6,2406819840,4312386560,
1512,default_server,2025-02-15 00:46:09,9.8,,72.7,9.6,2406819840,4312386560,
1509,default_server,2025-02-15 00:46:06,7.9,,72.6,9.6,2406819840,4312385536,
1510,default_server,2025-02-15 00:46:06,7.2,,72.6,9.6,2406819840,4312385536,
1507,default_server,2025-02-15 00:46:03,6.0,,72.6,9.6,2406819840,4312385536,
1508,default_server,2025-02-15 00:46:03,6.2,,72.6,9.6,2406819840,4312385536,
1505,default_server,2025-02-15 00:46:00,4.9,,72.6,9.6,2406818816,4312383488,
1506,default_server,2025-02-15 00:46:00,6.5,,72.6,9.6,2406818816,4312383488,
1503,default_server,2025-02-15 00:45:57,6.7,,72.8,9.6,2406809600,4312381440,
1504,default_server,2025-02-15 00:45:57,7.8,,72.9,9.6,2406809600,4312381440,
1501,default_server,2025-02-15 00:45:54,7.1,,72.1,9.6,2406802432,4312380416,
1502,default_server,2025-02-15 00:45:54,7.4,,72.0,9.6,2406802432,4312380416,
1499,default_server,2025-02-15 00:45:51,3.4,,72.9,9.6,2406793216,4312371200,
1500,default_server,2025-02-15 00:45:51,3.9,,72.8,9.6,2406793216,4312371200,
1497,default_server,2025-02-15 00:45:48,11.1,,73.4,9.6,2406784000,4312356864,
1498,default_server,2025-02-15 00:45:48,8.9,,73.3,9.6,2406784000,4312356864,
1495,default_server,2025-02-15 00:45:45,13.5,,74.0,9.6,2406777856,4312353792,
1496,default_server,2025-02-15 00:45:45,14.3,,73.4,9.6,2406778880,4312353792,
1493,default_server,2025-02-15 00:45:42,13.7,,74.3,9.6,2406776832,4312352768,
1494,default_server,2025-02-15 00:45:42,13.2,,74.2,9.6,2406776832,4312352768,
1491,default_server,2025-02-15 00:45:39,12.0,,73.4,9.6,2406710272,4312124416,
1492,default_server,2025-02-15 00:45:39,10.0,,72.9,9.6,2406710272,4312124416,
1489,default_server,2025-02-15 00:45:36,8.4,,73.0,9.6,2406704128,4312122368,
1490,default_server,2025-02-15 00:45:36,10.8,,73.0,9.6,2406707200,4312123392,
1487,default_server,2025-02-15 00:45:33,12.8,,73.5,9.6,2406703104,4312122368,
1488,default_server,2025-02-15 00:45:33,16.2,,73.5,9.6,2406703104,4312122368,
1485,default_server,2025-02-15 00:45:30,12.4,,73.5,9.6,2406703104,4312121344,
1486,default_server,2025-02-15 00:45:30,12.9,,73.4,9.6,2406703104,4312121344,
1483,default_server,2025-02-15 00:45:27,8.9,,74.0,9.6,2406697984,4312104960,
1484,default_server,2025-02-15 00:45:27,9.6,,74.7,9.6,2406697984,4312104960,
1481,default_server,2025-02-15 00:45:24,12.9,,73.4,9.6,2406697984,4312104960,
1482,default_server,2025-02-15 00:45:24,12.9,,73.3,9.6,2406697984,4312104960,
1479,default_server,2025-02-15 00:45:21,5.7,,73.4,9.6,2406697984,4312103936,
1480,default_server,2025-02-15 00:45:21,6.2,,73.2,9.6,2406697984,4312103936,
1477,default_server,2025-02-15 00:45:18,9.7,,73.4,9.6,2406695936,4312101888,
1478,default_server,2025-02-15 00:45:18,7.8,,72.7,9.6,2406695936,4312102912,
1475,default_server,2025-02-15 00:45:15,14.4,,73.1,9.6,2406642688,4312052736,
1476,default_server,2025-02-15 00:45:15,17.5,,73.4,9.6,2406681600,4312069120,
1473,default_server,2025-02-15 00:45:12,14.4,,72.9,9.6,2406633472,4312046592,
1474,default_server,2025-02-15 00:45:12,14.3,,72.9,9.6,2406633472,4312046592,
1471,default_server,2025-02-15 00:45:09,8.2,,72.9,9.6,2406633472,4312046592,
1472,default_server,2025-02-15 00:45:09,8.7,,72.9,9.6,2406633472,4312046592,
1469,default_server,2025-02-15 00:45:06,12.6,,73.0,9.6,2406632448,4312046592,
1470,default_server,2025-02-15 00:45:06,15.1,,73.0,9.6,2406633472,4312046592,
1467,default_server,2025-02-15 00:45:03,11.0,,73.0,9.6,2406631424,4312044544,
1468,default_server,2025-02-15 00:45:03,10.4,,73.1,9.6,2406631424,4312044544,
1465,default_server,2025-02-15 00:45:00,10.3,,73.8,9.6,2406631424,4312044544,
1466,default_server,2025-02-15 00:45:00,9.6,,73.1,9.6,2406631424,4312044544,
1463,default_server,2025-02-15 00:44:57,9.5,,74.1,9.6,2406631424,4312044544,
1464,default_server,2025-02-15 00:44:57,10.0,,74.0,9.6,2406631424,4312044544,
1461,default_server,2025-02-15 00:44:54,14.4,,74.0,9.6,2406631424,4312043520,
1462,default_server,2025-02-15 00:44:54,13.8,,74.1,9.6,2406631424,4312043520,
1459,default_server,2025-02-15 00:44:51,12.0,,74.0,9.6,2406627328,4312037376,
1460,default_server,2025-02-15 00:44:51,12.5,,74.3,9.6,2406629376,4312038400,
1457,default_server,2025-02-15 00:44:48,14.0,,73.8,9.6,2406626304,4312037376,
1458,default_server,2025-02-15 00:44:48,14.6,,73.7,9.6,2406626304,4312037376,
1455,default_server,2025-02-15 00:44:45,13.1,,73.8,9.6,2406626304,4312036352,
1456,default_server,2025-02-15 00:44:45,13.7,,73.7,9.6,2406626304,4312036352,
1453,default_server,2025-02-15 00:44:42,7.3,,73.7,9.6,2406625280,4312035328,
1454,default_server,2025-02-15 00:44:42,5.8,,73.6,9.6,2406625280,4312035328,
1451,default_server,2025-02-15 00:44:39,6.1,,72.7,9.6,2406625280,4312035328,
1452,default_server,2025-02-15 00:44:39,7.5,,73.5,9.6,2406625280,4312035328,
1449,default_server,2025-02-15 00:44:36,6.8,,73.4,9.6,2406625280,4312034304,
1450,default_server,2025-02-15 00:44:36,7.6,,73.5,9.6,2406625280,4312034304,
1447,default_server,2025-02-15 00:44:33,8.7,,73.1,9.6,2406616064,4312027136,
1448,default_server,2025-02-15 00:44:33,13.3,,73.2,9.6,2406616064,4312027136,
1445,default_server,2025-02-15 00:44:30,8.3,,73.5,9.6,2406615040,4312026112,
1446,default_server,2025-02-15 00:44:30,8.8,,73.4,9.6,2406615040,4312026112,
1444,default_server,2025-02-15 00:44:27,9.8,,75.0,9.6,2406615040,4312026112,
1443,default_server,2025-02-15 00:44:26,11.2,,75.1,9.6,2406615040,4312026112,
1442,default_server,2025-02-15 00:44:24,5.9,,71.8,9.6,2406610944,4312019968,
1441,default_server,2025-02-15 00:44:23,8.4,,71.8,9.6,2406610944,4312019968,
1440,default_server,2025-02-15 00:44:21,8.5,,72.7,9.6,2406610944,4312019968,
1439,default_server,2025-02-15 00:44:20,10.1,,72.7,9.6,2406610944,4312019968,
1438,default_server,2025-02-15 00:44:18,3.9,,71.5,9.6,2406609920,4312018944,
1437,default_server,2025-02-15 00:44:17,2.6,,71.5,9.6,2406609920,4312018944,
1436,default_server,2025-02-15 00:44:15,4.2,,71.6,9.6,2406578176,4311954432,
1435,default_server,2025-02-15 00:44:14,2.9,,71.6,9.6,2406573056,4311950336,
1434,default_server,2025-02-15 00:44:12,1.6,,71.6,9.6,2406567936,4311947264,
1433,default_server,2025-02-15 00:44:11,1.5,,71.6,9.6,2406567936,4311947264,
1432,default_server,2025-02-15 00:44:09,1.7,,71.8,9.6,2406566912,4311945216,
1431,default_server,2025-02-15 00:44:08,1.9,,71.8,9.6,2406566912,4311945216,
1430,default_server,2025-02-15 00:44:06,5.5,,71.8,9.6,2406563840,4311943168,
1429,default_server,2025-02-15 00:44:05,4.0,,71.8,9.6,2406563840,4311943168,
1428,default_server,2025-02-15 00:44:03,6.6,,72.1,9.6,2406561792,4311942144,
1427,default_server,2025-02-15 00:44:02,8.1,,72.2,9.6,2406561792,4311941120,
1426,default_server,2025-02-15 00:44:00,8.6,,73.1,9.6,2406535168,4311849984,
1425,default_server,2025-02-15 00:43:59,9.3,,72.3,9.6,2406473728,4311681024,
1424,default_server,2025-02-15 00:43:57,8.0,,73.5,9.6,2406456320,4311671808,
1423,default_server,2025-02-15 00:43:56,5.8,,72.4,9.6,2406456320,4311671808,
1422,default_server,2025-02-15 00:43:54,16.8,,73.0,9.6,2406456320,4311670784,
1421,default_server,2025-02-15 00:43:53,17.2,,73.2,9.6,2406456320,4311670784,
1420,default_server,2025-02-15 00:43:51,11.1,,72.4,9.6,2406439936,4311669760,
1419,default_server,2025-02-15 00:43:50,12.4,,72.5,9.6,2406439936,4311669760,
1418,default_server,2025-02-15 00:43:48,13.6,,72.6,9.6,2406389760,4311614464,
1417,default_server,2025-02-15 00:43:47,12.0,,72.7,9.6,2406362112,4311581696,
1416,default_server,2025-02-15 00:43:45,7.0,,73.3,9.6,2406333440,4311565312,
1415,default_server,2025-02-15 00:43:44,5.0,,73.8,9.6,2406333440,4311564288,
1414,default_server,2025-02-15 00:43:42,12.7,,73.2,9.6,2406333440,4311564288,
1413,default_server,2025-02-15 00:43:41,15.2,,73.3,9.6,2406333440,4311564288,
1412,default_server,2025-02-15 00:43:39,4.7,,74.6,9.6,2406333440,4311564288,
1411,default_server,2025-02-15 00:43:38,6.6,,74.9,9.6,2406332416,4311563264,
1410,default_server,2025-02-15 00:43:36,14.6,,72.6,9.6,2406317056,4311550976,
1409,default_server,2025-02-15 00:43:35,13.9,,72.7,9.6,2406317056,4311549952,
1408,default_server,2025-02-15 00:43:33,19.5,,72.8,9.6,2406317056,4311549952,
1407,default_server,2025-02-15 00:43:32,17.8,,72.8,9.6,2406317056,4311549952,
1406,default_server,2025-02-15 00:43:30,18.4,,72.8,9.6,2406269952,4311531520,
1405,default_server,2025-02-15 00:43:29,16.1,,72.6,9.6,2406269952,4311531520,
1404,default_server,2025-02-15 00:43:27,11.4,,72.4,9.6,2406267904,4311527424,
1403,default_server,2025-02-15 00:43:26,12.5,,73.0,9.6,2406260736,4311522304,
1402,default_server,2025-02-15 00:43:24,13.9,,72.4,9.6,2406217728,4311472128,
1401,default_server,2025-02-15 00:43:23,9.8,,71.7,9.6,2406202368,4311455744,
1400,default_server,2025-02-15 00:43:21,14.0,,71.7,9.6,2406200320,4311445504,
1399,default_server,2025-02-15 00:43:20,15.4,,71.7,9.6,2406199296,4311443456,
1398,default_server,2025-02-15 00:43:18,11.2,,71.5,9.6,2406167552,4311392256,
1397,default_server,2025-02-15 00:43:17,10.0,,71.5,9.6,2406166528,4311391232,
1395,default_server,2025-02-15 00:43:14,16.2,,72.0,9.6,2406106112,4311330816,
1396,default_server,2025-02-15 00:43:14,9.7,,72.0,9.6,2406106112,4311331840,
1393,default_server,2025-02-15 00:43:11,23.9,,72.6,9.6,2406069248,4311247872,
1394,default_server,2025-02-15 00:43:11,21.4,,71.6,9.6,2406069248,4311247872,
1391,default_server,2025-02-15 00:43:08,21.0,,72.2,9.6,2406068224,4311245824,
1392,default_server,2025-02-15 00:43:08,18.8,,72.2,9.6,2406068224,4311245824,
1389,default_server,2025-02-15 00:43:05,13.6,,71.5,9.6,2406067200,4311242752,
1390,default_server,2025-02-15 00:43:05,14.1,,71.5,9.6,2406067200,4311242752,
1387,default_server,2025-02-15 00:43:02,17.5,,71.5,9.6,2406062080,4311236608,
1388,default_server,2025-02-15 00:43:02,17.1,,71.4,9.6,2406062080,4311236608,
1385,default_server,2025-02-15 00:42:59,10.4,,71.0,9.6,2406061056,4311233536,
1386,default_server,2025-02-15 00:42:59,9.1,,70.9,9.6,2406061056,4311234560,
1383,default_server,2025-02-15 00:42:56,11.6,,71.0,9.6,2406060032,4311231488,
1384,default_server,2025-02-15 00:42:56,13.4,,70.9,9.6,2406060032,4311231488,
1381,default_server,2025-02-15 00:42:53,6.8,,71.0,9.6,2406057984,4311228416,
1382,default_server,2025-02-15 00:42:53,9.6,,70.9,9.6,2406059008,4311228416,
1379,default_server,2025-02-15 00:42:50,7.5,,70.9,9.6,2406057984,4311225344,
1380,default_server,2025-02-15 00:42:50,10.0,,70.9,9.6,2406057984,4311226368,
1377,default_server,2025-02-15 00:42:47,4.2,,70.4,9.6,2406056960,4311223296,
1378,default_server,2025-02-15 00:42:47,4.6,,70.2,9.6,2406056960,4311223296,
1375,default_server,2025-02-15 00:42:44,3.9,,70.9,9.6,2406055936,4311222272,
1376,default_server,2025-02-15 00:42:44,3.3,,70.9,9.6,2406055936,4311222272,
1373,default_server,2025-02-15 00:42:41,13.1,,70.9,9.6,2406054912,4311221248,
1374,default_server,2025-02-15 00:42:41,9.0,,70.8,9.6,2406054912,4311221248,
1371,default_server,2025-02-15 00:42:38,8.4,,70.8,9.6,2406053888,4311219200,
1372,default_server,2025-02-15 00:42:38,7.6,,70.8,9.6,2406054912,4311219200,
1369,default_server,2025-02-15 00:42:35,9.1,,70.7,9.6,2406052864,4311216128,
1370,default_server,2025-02-15 00:42:35,8.4,,70.7,9.6,2406052864,4311216128,
1367,default_server,2025-02-15 00:42:32,10.8,,70.8,9.6,2406047744,4311207936,
1368,default_server,2025-02-15 00:42:32,12.0,,70.8,9.6,2406047744,4311207936,
1365,default_server,2025-02-15 00:42:29,8.7,,71.1,9.6,2406047744,4311206912,
1366,default_server,2025-02-15 00:42:29,8.4,,71.1,9.6,2406047744,4311206912,
1363,default_server,2025-02-15 00:42:26,7.2,,71.1,9.6,2406045696,4311203840,
1364,default_server,2025-02-15 00:42:26,7.1,,71.1,9.6,2406046720,4311204864,
1361,default_server,2025-02-15 00:42:23,7.2,,71.1,9.6,2406044672,4311201792,
1362,default_server,2025-02-15 00:42:23,8.7,,71.1,9.6,2406044672,4311201792,
1359,default_server,2025-02-15 00:42:20,13.0,,71.1,9.6,2406043648,4311198720,
1360,default_server,2025-02-15 00:42:20,11.8,,71.1,9.6,2406043648,4311199744,
1357,default_server,2025-02-15 00:42:17,23.6,,71.1,9.6,2406042624,4311196672,
1358,default_server,2025-02-15 00:42:17,19.0,,71.1,9.6,2406042624,4311196672,
1355,default_server,2025-02-15 00:42:14,13.3,,70.9,9.6,2406017024,4311141376,
1356,default_server,2025-02-15 00:42:14,13.9,,70.9,9.6,2406019072,4311141376,
1353,default_server,2025-02-15 00:42:11,16.8,,70.5,9.6,2406014976,4311130112,
1354,default_server,2025-02-15 00:42:11,15.2,,70.6,9.6,2406014976,4311130112,
1351,default_server,2025-02-15 00:42:08,16.1,,70.4,9.6,2406000640,4311123968,
1352,default_server,2025-02-15 00:42:08,15.3,,70.5,9.6,2406000640,4311123968,
1349,default_server,2025-02-15 00:42:05,6.0,,70.4,9.6,2405974016,4311086080,
1350,default_server,2025-02-15 00:42:05,6.4,,70.4,9.6,2405974016,4311086080,
1347,default_server,2025-02-15 00:42:02,10.0,,70.3,9.6,2405974016,4311086080,
1348,default_server,2025-02-15 00:42:02,8.6,,70.3,9.6,2405974016,4311086080,
1345,default_server,2025-02-15 00:41:59,7.7,,70.8,9.6,2405972992,4311086080,
1346,default_server,2025-02-15 00:41:59,10.1,,70.7,9.6,2405972992,4311086080,
1343,default_server,2025-02-15 00:41:56,13.5,,70.8,9.6,2405964800,4311073792,
1344,default_server,2025-02-15 00:41:56,14.8,,70.8,9.6,2405964800,4311074816,
1341,default_server,2025-02-15 00:41:53,6.3,,70.1,9.6,2405954560,4311059456,
1342,default_server,2025-02-15 00:41:53,5.1,,70.2,9.6,2405954560,4311059456,
1339,default_server,2025-02-15 00:41:50,21.0,,70.1,9.6,2405954560,4311059456,
1340,default_server,2025-02-15 00:41:50,28.1,,70.2,9.6,2405954560,4311059456,
1337,default_server,2025-02-15 00:41:47,6.2,,69.9,9.6,2405942272,4311058432,
1338,default_server,2025-02-15 00:41:47,2.9,,69.9,9.6,2405942272,4311058432,
1335,default_server,2025-02-15 00:41:44,6.6,,70.6,9.6,2405938176,4311055360,
1336,default_server,2025-02-15 00:41:44,5.0,,70.6,9.6,2405938176,4311055360,
1333,default_server,2025-02-15 00:41:41,11.1,,70.9,9.6,2405938176,4311055360,
1334,default_server,2025-02-15 00:41:41,14.6,,70.9,9.6,2405938176,4311055360,
1331,default_server,2025-02-15 00:41:38,11.3,,71.2,9.6,2405914624,4311050240,
1332,default_server,2025-02-15 00:41:38,13.1,,71.2,9.6,2405914624,4311050240,
1329,default_server,2025-02-15 00:41:35,10.2,,71.1,9.6,2405912576,4311047168,
1330,default_server,2025-02-15 00:41:35,8.7,,71.1,9.6,2405912576,4311047168,
1327,default_server,2025-02-15 00:41:32,11.9,,71.6,9.6,2405905408,4311038976,
1328,default_server,2025-02-15 00:41:32,11.3,,71.6,9.6,2405905408,4311038976,
1325,default_server,2025-02-15 00:41:29,10.2,,71.6,9.6,2405897216,4311022592,
1326,default_server,2025-02-15 00:41:29,11.6,,71.6,9.6,2405897216,4311022592,
1323,default_server,2025-02-15 00:41:26,11.0,,71.6,9.6,2405896192,4311019520,
1324,default_server,2025-02-15 00:41:26,11.3,,71.6,9.6,2405896192,4311019520,
1321,default_server,2025-02-15 00:41:23,13.4,,71.4,9.6,2405895168,4311016448,
1322,default_server,2025-02-15 00:41:23,14.0,,71.4,9.6,2405895168,4311017472,
1319,default_server,2025-02-15 00:41:20,7.7,,71.3,9.6,2405894144,4311013376,
1320,default_server,2025-02-15 00:41:20,7.7,,71.3,9.6,2405894144,4311014400,
1317,default_server,2025-02-15 00:41:17,7.3,,71.4,9.6,2405893120,4311011328,
1318,default_server,2025-02-15 00:41:17,8.5,,71.4,9.6,2405893120,4311011328,
1315,default_server,2025-02-15 00:41:14,8.8,,71.3,9.6,2405847040,4310979584,
1316,default_server,2025-02-15 00:41:14,10.1,,71.3,9.6,2405847040,4310980608,
1313,default_server,2025-02-15 00:41:11,16.7,,71.4,9.6,2405840896,4310969344,
1314,default_server,2025-02-15 00:41:11,14.6,,71.4,9.6,2405840896,4310969344,
1311,default_server,2025-02-15 00:41:08,11.0,,71.1,9.6,2405839872,4310962176,
1312,default_server,2025-02-15 00:41:08,10.8,,71.1,9.6,2405839872,4310963200,
1309,default_server,2025-02-15 00:41:05,9.1,,71.1,9.6,2405832704,4310935552,
1310,default_server,2025-02-15 00:41:05,9.0,,71.1,9.6,2405832704,4310935552,
1307,default_server,2025-02-15 00:41:02,12.4,,70.8,9.6,2405831680,4310933504,
